Time (sec),500 nM IL-6,750 nM IL-6,1 uM IL-6,500 nM HSA,750 nM HSA,1 uM HSA
0,0,0,0,0,0,0
3,0.009456667,0.009765833,0.011994167,-0.000656667,0.000665833,-0.011545833
6,0.02083,0.018536667,0.026714167,-0.001,0.001008333,-0.024676667
9,0.033366667,0.02676,0.045183333,-0.002553333,0.001699167,-0.036956667
12,0.045473333,0.035275,0.066518333,-0.001853333,0.001778333,-0.050648333
15,0.058833333,0.043806667,0.089918333,-0.001253333,0.002305833,-0.0645975
18,0.07176,0.0524975,0.113679167,0.000163333,0.0036525,-0.077128333
21,0.085943333,0.060129167,0.138575833,0.001773333,0.006365833,-0.08708
24,0.102163333,0.068144167,0.163718333,0.003516667,0.008825833,-0.094920833
27,0.119503333,0.0764125,0.187981667,0.006076667,0.011605,-0.1020675
30,0.136216667,0.085955,0.212520833,0.007103333,0.014485833,-0.107314167
33,0.155766667,0.09652,0.237905833,0.008763333,0.018173333,-0.1114225
36,0.174983333,0.10993,0.263974167,0.010136667,0.021671667,-0.113949167
39,0.193696667,0.124731667,0.289313333,0.01245,0.025355,-0.1158775
42,0.213326667,0.141386667,0.315296667,0.01391,0.029195833,-0.115570833
45,0.233003333,0.159668333,0.342065833,0.016123333,0.0338075,-0.115303333
48,0.253603333,0.178760833,0.370351667,0.017606667,0.03755,-0.113885833
51,0.273083333,0.201285833,0.399171667,0.01759,0.0415275,-0.11366
54,0.291543333,0.223785833,0.427764167,0.01959,0.045638333,-0.113755833
57,0.308403333,0.246461667,0.455126667,0.020586667,0.049266667,-0.1128625
60,0.324796667,0.270750833,0.480323333,0.02307,0.051931667,-0.113644167
63,0.339373333,0.29531,0.504340833,0.023726667,0.054683333,-0.112635833
66,0.353766667,0.3182,0.528761667,0.024966667,0.0567,-0.11218
69,0.367043333,0.3426775,0.55116,0.02574,0.0582575,-0.111646667
72,0.378783333,0.365028333,0.571325,0.02548,0.061149167,-0.11082
75,0.38878,0.3861075,0.590400833,0.02617,0.062473333,-0.1082775
78,0.397353333,0.4083575,0.6082025,0.02491,0.064138333,-0.106795
81,0.40573,0.427710833,0.6247775,0.02498,0.06427,-0.106258333
84,0.41117,0.44653,0.6389225,0.023046667,0.0660675,-0.10584
87,0.416316667,0.4659725,0.653429167,0.022203333,0.0674075,-0.105270833
