Fold.IL.6.HSA	Fold.IL.6.UL	Fold.IL.6.Naive	Fold.IL.6.Nickel	Fold.Naive.Nickel	Fold HSA/Naive
94.79	77.68	56.55	0.03	-0.982127848	-0.399235683
63.04	45.21	30	1.02	-0.934931859	-0.515928389
61.5	52.32	27.94	0.07	-0.963108636	-0.537012049
58.92	55.19	26.56	0.24	-0.954914209	-0.540020501
56.33	39.73	34.15	0.52	-0.956795144	-0.386883285
53.88	44.07	24.02	0.57	-0.937368596	-0.544020706
53.67	42.37	31.23	1.58	-0.919815466	-0.410408737
52.6	46.13	30.52	0.79	-0.943266543	-0.411836605
52.32	76.73	28.35	1.03	-0.930733716	-0.449567015
48.27	59.75	19.26	2.89	-0.808104573	-0.588911993
48.12	42.58	21.06	1.24	-0.898346332	-0.550953296
47.61	32.74	26.51	1.79	-0.898397285	-0.434187561
46.6	45.81	27.38	2.34	-0.882319161	-0.403680938
44.51	45.29	28.08	0.83	-0.936990577	-0.361129864
43.6	39.3	27.77	2.18	-0.889369395	-0.35493582
41.17	28.26	22.4	0.09	-0.953211466	-0.445161166
39.84	22.66	23.35	-0.01	-0.959186548	-0.403764633
39.63	21.38	23.74	-0.11	-0.963934028	-0.390992033
39.12	41.13	23.84	1.75	-0.889374409	-0.380737772
38.29	38.46	23.56	0.62	-0.93384055	-0.374918127
37.09	29.33	24.89	0.32	-0.948897936	-0.32026451
36.98	35.4	22.24	1.43	-0.895451069	-0.388049455
36.54	31.1	22.51	1.8	-0.881054122	-0.373862988
36.47	23.35	23.75	1.28	-0.907902029	-0.339479305
36.15	17.32	19.42	-0.28	-0.964657667	-0.450242359
36.03	30.13	23.39	0.98	-0.918812123	-0.341333683
35.08	34.26	20.42	1.21	-0.896902108	-0.406245062
34.8	27.69	21.68	0.8	-0.920565749	-0.366457373
34.04	21.07	18.14	1.21	-0.884687366	-0.453797313
33.8	25.98	24.86	1.01	-0.922159017	-0.257092721
33.42	30.42	22.74	0.84	-0.922417003	-0.310366063
33.2	24.51	14.84	0.81	-0.885917733	-0.53672859
32.14	41.21	19.79	1.54	-0.877907168	-0.372743528
31.61	24.32	19.34	1.68	-0.868193557	-0.376164337
31.38	30.56	19.3	1.12	-0.895600539	-0.373095719
31.36	14.96	25.01	0.69	-0.935108113	-0.19604579
31.33	28.67	23.29	0.61	-0.933688608	-0.248647562
31.24	35.79	20.99	1.07	-0.905961424	-0.317846077
30.87	20.32	20.5	1.19	-0.898359981	-0.325458664
30.56	34.3	21.48	0.78	-0.920875162	-0.287611941
30.35	25.37	22.65	0.45	-0.938731933	-0.245714214
30.1	34.98	22.19	1.89	-0.875217916	-0.254283238
30.07	32.29	21.87	1.72	-0.881088694	-0.264058915
29.99	18.72	21.62	0.89	-0.916562856	-0.27013503
29.88	24.72	16.77	1.42	-0.863957807	-0.424594014
29.69	25.45	16.75	1.7	-0.847808174	-0.421757943
29.53	22.18	15.47	1.47	-0.850118429	-0.460418804
29.46	32.77	15.8	1.97	-0.823167196	-0.448519267
29.39	22.33	20.97	0.96	-0.910742545	-0.276940677
29.25	23.27	21.09	0.65	-0.925408106	-0.269712464
29	38.52	22.37	2.42	-0.853629819	-0.220851491
28.98	31.51	18.6	1.63	-0.865783007	-0.346017395
28.92	15.85	16.37	1.01	-0.88414112	-0.419398303
28.79	30.52	15.23	1.5	-0.845906162	-0.455318476
28.74	25.64	23.19	1.22	-0.908361853	-0.186534359
28.68	27.25	23.62	0.67	-0.932271113	-0.170507408
28.56	17.56	15.01	0.3	-0.919112262	-0.458284131
28.47	24.88	19.38	0.16	-0.943179524	-0.308508195
28.22	29.09	19.18	0.85	-0.908186126	-0.30951922
28.21	24.98	14.18	1	-0.868436454	-0.480235782
28.11	27.95	21.88	0.23	-0.946337712	-0.214141793
28.1	24.83	16.22	1.04	-0.881515574	-0.408054591
28.04	27.4	16.98	1.09	-0.88367934	-0.380880329
27.98	26.09	16.94	-0.08	-0.948988544	-0.381006501
27.97	14.49	19.4	-0.02	-0.951978186	-0.295816956
27.91	33	24.79	2.28	-0.872797551	-0.108004695
27.87	28.55	18.19	0.42	-0.925958329	-0.335084618
27.77	19.64	23.21	0	-0.958715294	-0.158362059
27.52	28.92	19.49	1.39	-0.883308634	-0.281435792
27.42	23.82	20.71	0.95	-0.910238549	-0.236063735
27.41	15.88	13.83	0.67	-0.887705684	-0.478080757
27.37	18.67	18.18	1.41	-0.874183589	-0.323919326
27.13	31	18.31	1.15	-0.888477403	-0.313488475
27.09	21.13	20.68	0.84	-0.915271258	-0.22790912
26.94	28	17.94	0.35	-0.92852673	-0.322186646
26.77	22.88	21.23	1.69	-0.878775081	-0.199672146
26.76	20.34	20.28	1.48	-0.883246488	-0.233503511
26.73	22.6	15.57	0.58	-0.904738192	-0.402485859
26.64	25.45	19.18	2.04	-0.849177096	-0.269895237
26.48	41.16	21.33	0.9	-0.91489547	-0.187337492
26.42	20.73	19.12	0.1	-0.945103843	-0.266163931
26.3	19.98	20.49	0.46	-0.93206834	-0.212859222
26.16	26.01	18.51	1.24	-0.885124228	-0.281602894
25.93	15.14	21.41	-0.25	-0.966586623	-0.167817747
25.91	16.94	14.22	0.46	-0.903818268	-0.434368954
25.89	33.44	22.56	0.55	-0.9342914	-0.123711659
25.89	18.07	19.67	0.82	-0.91180376	-0.231366769
25.64	23.22	19.91	0.2	-0.94252214	-0.214993474
25.62	35.14	18.21	1.53	-0.868221989	-0.278158504
25.6	28.36	18.61	1.8	-0.856986509	-0.26291935
25.47	19.84	19.32	1.17	-0.893085875	-0.232061058
25.44	14.47	21.62	-0.04	-0.957353204	-0.144236649
25.44	15.54	19.57	1.5	-0.878535285	-0.221980717
25.29	22.68	22.16	-0.18	-0.964667674	-0.119098334
25.19	30.46	19.32	1.06	-0.898447966	-0.224277363
25.1	21.27	19.64	1.29	-0.889310861	-0.209004569
25.01	26.25	21.38	0.36	-0.939079504	-0.139590074
24.97	16.14	15.05	1.07	-0.871122405	-0.382090677
24.9	21.92	15.29	1.28	-0.860051048	-0.371145934
24.81	25.76	20.56	1.51	-0.88366156	-0.164786295
24.69	16.11	20.88	-0.32	-0.969129963	-0.148340484
24.59	40.72	17.31	1.49	-0.864055848	-0.284575391
